probe_id,log2FC,p_adj,kategori,gene_symbol,gene_title
1552365_at,-0.7838,0.0018015694597658294,Azalan,SCIN,scinderin
207452_s_at,0.6689,0.0018355325971695703,Artan,CNTN5,contactin 5
209396_s_at,-0.8954,0.0018568451578587668,Azalan,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39)
210916_s_at,-0.6954,0.0019392834622057535,Azalan,CD44,CD44 molecule (Indian blood group)
213397_x_at,-0.506,0.0020682463292153374,Azalan,RNASE4,"ribonuclease, RNase A family, 4"
214511_x_at,-0.581,0.00209772298308988,Azalan,FCGR1B,"Fc fragment of IgG, high affinity Ib, receptor (CD64)"
230388_s_at,-0.5111,0.002118587165608445,Azalan,KANSL1-AS1,KANSL1 antisense RNA 1
1552722_at,0.6431,0.002120420745285551,Artan,ARPP21,"cAMP-regulated phosphoprotein, 21kDa"
229345_at,0.574,0.0021243035190228665,Artan,RTN4RL2,reticulon 4 receptor-like 2
205572_at,-0.5401,0.002215047268929507,Azalan,ANGPT2,angiopoietin 2
229259_at,-0.6483,0.0024197736969163892,Azalan,GFAP,glial fibrillary acidic protein
204429_s_at,-0.5169,0.00253247079801139,Azalan,SLC2A5,"solute carrier family 2 (facilitated glucose/fructose transporter), member 5"
224099_at,0.5559,0.0025355506573840423,Artan,KCNH7,"potassium voltage-gated channel, subfamily H (eag-related), member 7"
219584_at,-0.6033,0.0025394878417368608,Azalan,PLA1A,phospholipase A1 member A
202376_at,-1.0179,0.0027290488295752913,Azalan,SERPINA3,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"
204996_s_at,0.7528,0.0028185682945942956,Artan,CDK5R1,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"
209395_at,-0.8178,0.0028553595754531092,Azalan,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39)
240614_at,0.5573,0.0030546181467865936,Artan,KCNC2,"potassium voltage-gated channel, Shaw-related subfamily, member 2"
216950_s_at,-0.5364,0.0031338266841100795,Azalan,FCGR1A /// FCGR1B /// FCGR1C,"Fc fragment of IgG, high affinity Ia, receptor (CD64) /// Fc fragment of IgG, high affinity Ib, receptor (CD64) /// Fc fragment of IgG, high affinity Ic, receptor (CD64), pseudogene"
201161_s_at,-0.508,0.0032881679803278005,Azalan,YBX3,Y box binding protein 3
224408_at,0.627,0.0033904287223733816,Artan,MCHR2,melanin-concentrating hormone receptor 2
210895_s_at,-0.5468,0.0035833204217821605,Azalan,CD86,CD86 molecule
204563_at,-0.5233,0.004044257735394621,Azalan,SELL,selectin L
209116_x_at,-0.5151,0.004189607630896279,Azalan,HBB,"hemoglobin, beta"
1557905_s_at,-0.7394,0.004205598374069092,Azalan,CD44,CD44 molecule (Indian blood group)
210991_s_at,0.6391,0.004332235921000685,Artan,RIMS3,regulating synaptic membrane exocytosis 3
203240_at,-0.5434,0.0049532406044825415,Azalan,FCGBP,Fc fragment of IgG binding protein
229247_at,0.5456,0.005384965666311896,Artan,FBLN7,fibulin 7
213791_at,0.599,0.005929926441661843,Artan,PENK,proenkephalin
233135_at,0.548,0.0063918173183773125,Artan,LINC01007,long intergenic non-protein coding RNA 1007
36711_at,-0.5887,0.006420882027579061,Azalan,MAFF,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
219014_at,-0.6605,0.006950838095863816,Azalan,PLAC8,placenta-specific 8
230781_at,-0.7942,0.008908277716495721,Azalan,LINC01088,long intergenic non-protein coding RNA 1088
213800_at,-0.6047,0.009355507162765002,Azalan,CFH,complement factor H
223122_s_at,-0.5471,0.009546852214904668,Azalan,SFRP2,secreted frizzled-related protein 2
207714_s_at,-0.5032,0.009619229220445493,Azalan,SERPINH1,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)"
202988_s_at,-0.6813,0.010392500479353235,Azalan,RGS1,regulator of G-protein signaling 1
232854_at,0.6118,0.010549628897587765,Artan,DIRAS1,"DIRAS family, GTP-binding RAS-like 1"
206101_at,-0.5432,0.010664968030319404,Azalan,ECM2,"extracellular matrix protein 2, female organ and adipocyte specific"
201324_at,-0.5586,0.010762752855944588,Azalan,EMP1,epithelial membrane protein 1
1557475_at,0.5902,0.011362621103707882,Artan,LINC00507,long intergenic non-protein coding RNA 507
205374_at,0.6261,0.0118103843211661,Artan,SLN,sarcolipin
201645_at,-0.6502,0.012427941676615888,Azalan,TNC,tenascin C
216834_at,-0.7175,0.013481272007546674,Azalan,RGS1,regulator of G-protein signaling 1
227697_at,-0.6371,0.01567173475289612,Azalan,SOCS3,suppressor of cytokine signaling 3
211479_s_at,0.6273,0.018385684941608183,Artan,HTR2C,"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled"
209728_at,-0.6288,0.01885505766337575,Azalan,HLA-DRB4,"major histocompatibility complex, class II, DR beta 4"
232887_at,-0.6116,0.01938717423557308,Azalan,PIRT,phosphoinositide-interacting regulator of transient receptor potential channels
202917_s_at,-0.7016,0.021023103699466437,Azalan,S100A8,S100 calcium binding protein A8
201506_at,-0.5369,0.023081778730557372,Azalan,TGFBI,"transforming growth factor, beta-induced, 68kDa"
228055_at,-0.5257,0.02789419540498241,Azalan,NAPSB,"napsin B aspartic peptidase, pseudogene"
212671_s_at,-0.589,0.029153856027813597,Azalan,HLA-DQA1 /// HLA-DQA2 /// LOC100509457,"major histocompatibility complex, class II, DQ alpha 1 /// major histocompatibility complex, class II, DQ alpha 2 /// HLA class II histocompatibility antigen, DQ alpha 1 chain-like"
207526_s_at,-0.8615,0.034412277416058124,Azalan,IL1RL1,interleukin 1 receptor-like 1
206326_at,0.5379,0.03703871725182246,Artan,GRP,gastrin-releasing peptide
213060_s_at,-0.626,0.04142201720017175,Azalan,CHI3L2,chitinase 3-like 2
